Pays;Indice_performance_logistique_2016;Population;IDH;Revenu_national_brut;production_co2;Importations - Quantité;Production;Disponibilité intérieure;Nourriture;Disponibilité alimentaire en quantité (kg/personne/an);Taux_de_change;Index_Maximum_Conectivité_maritime;Political_Stability;PIB_par_habitant
Nouvelle-Zélande;3,549123;4702034;0,935;40700,46491;7,625380846;1;223;168;164;34,79;1,407408333;32,07;1,59;42910,97284
Oman;3,436481;4665928;0,831;32003,33222;14,12486434;126;7;114;101;21,63;0,3845;53,085;0,75;17802,57512
Pakistan;2,697275;207906209;0,543;4495,95069;1,125399771;2;1281;1282;1218;5,86;105,4551621;33,215;-2,41;1567,64062
Panama;3,281587;4106769;0,811;28606,48873;2,730126774;20;198;192;139;33,82;1;48,4075;0,39;15185,97248
Pérou;2,623704;31444298;0,77;11931,12893;1,708484635;60;1465;1523;424;13,47;3,260488491;37,8675;-0,26;6676,307788
Philippines;2,550097;105172925;0,704;9016,762194;1,282666618;249;1272;1521;1459;13,87;50,40371979;30,49;-1,18;3077,434432
Pologne;3,169237;37953180;0,875;28817,10086;8,897351948;55;2351;1156;1150;30,3;3,779333333;48,9225;0,52;13815,49995
Portugal;3,088148;10288527;0,859;32269,04155;5,368183414;82;361;325;315;30,58;0,885205508;46,3125;1,12;21490,42986
Paraguay;2,445662;6867061;0,724;12174,12219;1,175641224;1;45;41;41;5,99;5618,933452;1;0;6136,058354
Roumanie;2,882353;19653969;0,823;26756,30966;3,928117522;146;392;381;381;19,37;4,052491667;26,7675;0,06;10727,97175
Fédération de Russie;2,429523;145530082;0,833;25233,84257;11,31351661;226;4444;4556;4509;30,98;58,34280119;44,1025;-0,64;10720,33203
Rwanda;2,621956;11980961;0,526;1913,034071;0,08768078;0;19;19;18;1,49;831,5543398;0;0,09;756,5476049
Arabie Saoudite;3,235413;33101179;0,86;48041,17305;19,31586787;722;616;1435;1435;43,36;3,75;56,085;-0,58;20910,48296
Soudan;2,201694;40813397;0,514;4414,899983;0,532053237;2;67;69;65;1,6;6,68336;19,5;-1,98;3188,769287
Sénégal;2,233494;15419355;0,509;3114,304101;0,69690334;0;77;77;73;4,76;580,6567496;17,265;-0,05;1385,199215
Îles Salomon;2,20718;636039;0,564;2610,761701;0,449327793;6;0;3;3;4,45;7,887390369;9,09;0,2;2283,578944
Sierra Leone;2,069467;7488423;0,466;1594,30889;0,121833395;14;17;30;30;3,97;7,384432222;8,0775;-0,04;484,4561156
El Salvador;2,249288;6388126;0,674;7984,420771;0,941715927;16;136;131;131;20,43;1;9,525;-0,26;3986,049014
Serbie;2,491071;8829628;0,802;15538,46624;5,156038284;12;85;90;90;10,16;107,75885;0;0,09;6292,546549
Sao Tomé-et-Principe;2,117817;207089;0,612;3941,369046;0,61925066;2;1;2;2;9,47;21,74113836;5,975;0,19;1805,524651
Slovaquie;3,243352;5447900;0,856;29516,49964;6,613667652;63;71;74;76;13,9;0,885205508;0;0,91;17585,197
Slovénie;3,189909;2076394;0,913;35849,55565;7,027519825;20;72;52;51;24,41;0,885205508;32,505;0,87;23514,02546
Suède;4,270132;9904896;0,941;52849,39299;4,300267262;84;157;187;164;16,6;8,548860833;50,7075;0,98;53791,50873
Tchad;2,074374;15016753;0,393;1566,261072;0,068982955;1;6;7;7;0,45;580,6567496;0;-1,29;662,8974734
Togo;2,236628;7698474;0,524;2013,813455;0,287082869;16;40;54;54;7,06;580,6567496;32,86;-0,88;814,4198376
Thaïlande;3,12367;69209810;0,79;16642,45037;4,131778429;2;1676;881;896;12,95;33,93981106;42,895;-0,75;6436,789649
Tadjikistan;2,133333;8880268;0,665;3728,067416;0,885671468;38;2;40;39;4,45;8,549741667;0;-0,67;844,3652499
Trinité-et-Tobago;2,337318;1384059;0,817;26543,37527;28,86307592;23;61;76;75;54,54;6,779525;13,9225;0,28;16094,66678
Tunisie;2,444444;11433443;0,74;10906,88715;2,556666439;0;213;195;195;17,03;2,419425;7,7525;-1,02;3569,718839
Turquie;3,493645;81116450;0,833;27553,33891;5,243439524;3;2192;1674;1674;20,64;3,648132635;55,625;-1,79;10464,00779
République-Unie de Tanzanie;2,811586;54660339;0,528;2472,985897;0,208683301;2;105;108;103;1,88;2228,856667;13,9925;-0,56;975,9245605
Ouganda;2,739724;41166588;0,52;2025,816431;0,130530614;0;65;66;62;1,52;3611,224458;0;-0,57;766,177604
Ukraine;2,494807;44487709;0,782;12032,75473;5,014531092;121;1211;1009;1006;22,62;26,5966063;27,71;-1,87;2638,325439
Uruguay;2,794872;3436641;0,819;21733,37205;1,793204469;3;33;33;31;9,12;28,6764;30,3025;1,05;18995,39702
États-Unis;4,152011;325084756;0,924;61186,46283;16,01967242;123;21914;18266;18100;55,68;1;86,4175;0,34;59907,75426
Venezuela;2,345295;29402484;0,744;12321,887;5,49394058;25;600;626;596;20,28;9,975;11,935;-1,25;12400
Viet Nam;2,695191;94600648;0,692;6611,941253;2,063931951;291;918;1206;1166;12,33;22370,08667;58,41;0,29;2992,071746
Afrique du Sud;3,776261;57009756;0,72;13475,98821;8,142443199;514;1667;2118;2035;35,69;13,32380142;39,715;-0,28;6734,475153
Zambie;2,262771;16853599;0,568;3330,552717;0,386694854;12;49;60;58;3,42;9,5175;0;0,15;1495,752138
Zimbabwe;2,213516;14236595;0,594;3728,918785;0,673026099;6;69;76;67;4,68;322;0;-0,71;1192,107012
